;;;;;REF HLDP;REF LF;DÇtails;Comparatifs;;;;;;;;;;;;;;;;;DÇtails;;;;;;;;;DÇtails;;;;;;;DÇtails;;;;FOURNISSEURS;;;;;;;;;;;;;;;;Grossistes;;;1,08;;Client ->;Chaånes;Marge HLDP;PV FOB $;PV FOB _;"PV HLDP $ DDP";"PV HLDP _ DDP";"PV HLDP _ DDP FixÇ";PV LF Orange bleue _;"RÇduction /  PV LF OR BL";Produit spÇcifique;Marge HLDP;PV FOB $;PV FOB _;"PV HLDP $ DDP";"PV HLDP _ DDP";Marge HLDP;PV FOB $;PV FOB _;"PV HLDP $ DDP";"PV HLDP _ DDP";"PV HLDP _ DDP";"PV HLDP _ DDP fixÇ";Marge HLDP;PV FOB $;PV FOB _;"PV HLDP $ DDP";"PV HLDP _ DDP";"PV HLDP _ DDP fixÇ";Marge HLDP;PV FOB $;PV FOB _;"PV HLDP $ DDP";"PV HLDP _ DDP";"PV HLDP _ DDP fixÇ";Marge HLDP;PV FOB $;PV FOB _;"PV HLDP $ DDP";"PV HLDP _ DDP";"PV HLDP _ DDP fixÇ";PV Public _;PV Public $;RÇduction / PV Public;PV LF Revendeur _;PV LF Revendeur $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;CRI418;3422;Overpass 1080Mm;;;0,0541;12,00;11,00;piäce;3760223792980;Overpass 1080Mm;OVERPASS 1080MM;;;;Pending;;;180cm;;;;;CROSSFIT;Barre de traction simple et barre de liaison. Tube ù 50mm, Çpaisseur 3mm;http://www.leaderfit-equipement.com/images/eboutique/liste20140904102517.jpg;Overpass- 1080mm ;unit;;;;Reinforced bar for crossfit station.;CROSSFIT;Overpass- 1080mm ;;;;;;;PC;;$37,60;;;;;;;;;;;;;;;;;RISING;PC;$47,00;$56,40;13%;$54,02;50,02 _;$64,83;60,03 _;;;;;33%;$70,15;64,95 _;$84,18;77,94 _;43%;$82,46;76,35 _;$98,95;91,62 _;74,70 _;;33%;$70,15;64,95 _;$84,18;77,94 _;;33%;$212,57;196,83 _;;;;33%;$231,36;214,22 _;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CRI418;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;CRI475;3552;Power Band Pegs;;;0,0074;6,00;5,50;Lot de 4;3760223793109;Power Band Pegs;POWER BAND PEGS;;;;Pending;;;;;;;;CROSSFIT;Multi-poignÇes servant de point d'accroche pour divers outils : powerband, Çlastique, _;http://www.leaderfit-equipement.com/images/eboutique/liste20150128103113.jpg;Power Band Pegs-500mm;Set of 4;;;;Multi-handles used as attachment point for various tools: powerband, elastic, _;CROSSFIT;Power Band Pegs-500mm;;;;;;;Lot de 4;;$28,50;;;;;;;;;;;;;;;40,16 _;;RISING;Lot de 4;$28,50;$34,20;13%;$32,76;30,33 _;$39,31;36,40 _;;;;;33%;$42,54;39,39 _;$51,04;47,26 _;43%;$50,00;46,30 _;$60,00;55,56 _;45,29 _;;33%;$42,54;39,39 _;$51,04;47,26 _;;33%;$128,90;119,35 _;;;;33%;$140,29;129,90 _;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CRI475;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;CRI476;3690;Plyometric Box Board;;;0,0570;21,00;19,00;piäce;3760223793093;Plyometric Box Board;PLYOMETRIC BOX BOARD;;;;Pending;;;108cm;;;;;CROSSFIT;Plate-forme avec deux fixations pour un travail pliomÇtrique;http://www.leaderfit-equipement.com/images/eboutique/liste20140827151806.jpg;Plyometric Box-Board-1080mm;unit;;;;Platform with two attachments for a plyometric work;CROSSFIT;Plyometric Box-Board-1080mm;;;;;;;PC;;$80,00;;;;;;;;;;$62,00;;;;;;;RISING;PC;$80,00;$96,00;13%;$91,95;85,14 _;$110,34;102,17 _;;;;;33%;$119,40;110,56 _;$143,28;132,67 _;43%;$140,35;129,95 _;$168,42;155,95 _;127,14 _;;33%;$119,40;110,56 _;$143,28;132,67 _;;33%;$361,83;335,03 _;;;;33%;$393,80;364,63 _;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CRI476;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;CRI477;3689;Plyo Platform;;;0,1394;18,00;16,00;piäce;3760223791365;Plyo Platform;PLYO PLATFORM;;;;Pending;;;;;;;;CROSSFIT;Plate-forme avec une seule fixation pour un travail pliomÇtrique, Ö accrocher Ö la cage functional training.;http://www.leaderfit-equipement.com/images/eboutique/liste20140827153229.jpg;Plyo Platform;unit;;;;Platform with a single attachment for a plyometric work. To put on the functional training station.;CROSSFIT;Plyo Platform;;;;;;;PC;;$50,40;;;;;;;;;;;;;;;77,21 _;;RISING;PC;$63,00;$75,60;13%;$72,41;67,05 _;$86,90;80,46 _;;;;;33%;$94,03;87,06 _;$112,84;104,48 _;43%;$110,53;102,34 _;$132,63;122,81 _;100,12 _;;33%;$94,03;87,06 _;$112,84;104,48 _;;33%;$284,94;263,83 _;;;;33%;$310,12;287,15 _;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CRI477;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;CRI413;3704;Plate Storage Sleeve;;;0,0211;7,00;6,00;paire;3760223790894;Plate Storage Slevve;PLATE STORAGE SLEEVE;;;;Pending;;;;;;;;CROSSFIT;Barre de rangement pour disques Ö accrocher Ö la cage functional training. Peut contenir jusqu_ Ö 4 disques.;http://www.leaderfit-equipement.com/images/eboutique/liste20140827094030.jpg;Plate Storage Sleeve;pair;;;;Plate storage bar. To put on functional training station. Holds up to 4 plates.;CROSSFIT;Plate Storage Sleeve;;;;;;;PR;;$31,80;;;;;;;;;;;;;;;13,28 _;;RISING;PR;$33,50;$40,20;13%;$38,51;35,65 _;$46,21;42,78 _;;;;;33%;$50,00;46,30 _;$60,00;55,56 _;43%;$58,77;54,42 _;$70,53;65,30 _;53,24 _;;33%;$50,00;46,30 _;$60,00;55,56 _;;33%;$151,52;140,29 _;;;;33%;$164,90;152,69 _;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CRI413;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;CRI292;3703;Punching Bag Rack;;;0,0560;9,00;8,00;;3760223791372;Punching Bag Rack;PUNCHING BAG RACK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;$22,80;;$22,80;;;;;;;;;;;;;;;;;;;;;40%;;;;;;;;;13%;;;;;43%;#REF!;#REF!;#REF!;#REF!;#REF!;;40%;;;;;;40%;;;;;;23%;#REF!;#REF!;#REF!;#REF!;;15,89 _;$17,16;100%;9,53 _;$10,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CRI292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;CRI478;3735;Shape Handle;;;0,0028;1,50;1,25;piäce;3760223793338;Shap Handle;SHAPE HANDLE;;;;Pending;;;;;;;;CROSSFIT;PoignÇe d_accroche pour divers outils : corde, sangle de suspension, Çlastique de rÇsistance_;http://www.leaderfit-equipement.com/images/eboutique/liste20140826100510.jpg;D Shap Handle;unit;;;;Shap Handle for various tools: rope, suspension system, elastic resistance _;CROSSFIT;D Shap Handle;;;;;;;PC;;$20,00;;;;;;;;;;;;;;;;;RISING;PC;$20,00;$24,00;13%;$22,99;21,29 _;$27,59;25,54 _;;;;;33%;$29,85;27,64 _;$35,82;33,17 _;43%;$35,09;32,49 _;$42,11;38,99 _;31,79 _;;33%;$29,85;27,64 _;$35,82;33,17 _;;33%;$90,46;83,76 _;;;;33%;$98,45;91,16 _;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CRI478;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;CRI482;3480;Rotational Core;;;0,0583;4,00;3,50;piäce;3760223793246;Rotational Core;ROTATIONAL CORE;;;;Pending;;;;;;;;CROSSFIT;Potence Ö accrocher Ö la cage functional training pour suspendre un sac de frappe. Structure mÇtallique träs rÇsistante.;http://www.leaderfit-equipement.com/images/eboutique/liste20140827122221.jpg;Punching Bag Rack ;unit;;;;Rak to be fixed on a functional training station to put a punching bag. Very resistant metallic structure.;CROSSFIT;Punching Bag Rack ;;;;;;;PC;;$20,00;;;;;;;;;;;;;;;;;RISING;PC;$30,00;$36,00;13%;$34,48;31,93 _;$41,38;38,31 _;;;;;33%;$44,78;41,46 _;$53,73;49,75 _;43%;$52,63;48,73 _;$63,16;58,48 _;47,68 _;;33%;$44,78;41,46 _;$53,73;49,75 _;;33%;$135,69;125,63 _;;;;33%;$147,68;136,74 _;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CRI482;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;CRI415;3418;Sliding Pull Up System;;;0,0639;24,67;23,00;piäce;3760223793352;Sliding Pull Up System;SLIDING PULL UP SYSTEM;;;;Pending;;;;;;;;CROSSFIT;Barre de traction Ö accrocher sur la cage functional training avec systäme de poignÇes coulissantes pour un travail latÇral.;http://www.leaderfit-equipement.com/images/eboutique/liste20140825170337.jpg;Sliding Pull up System;unit;;;;Sliding pull up system to put on a station with functional training system for lateral sliding handles work.;CROSSFIT;Sliding Pull up System;;;;;;;PC;;$135,00;;;;;;;;;;;;;;;;;RISING;PC;$135,00;$162,00;13%;$155,17;143,68 _;$186,21;172,41 _;;;;;33%;$201,49;186,57 _;$241,79;223,88 _;43%;$236,84;219,30 _;$284,21;263,16 _;214,55 _;;33%;$201,49;186,57 _;$241,79;223,88 _;;33%;$610,58;565,36 _;;;;33%;$664,54;615,31 _;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CRI415;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;CRI286;3743;Sling Bridge;;;0,0213;13,00;12,00;;3760223793369;Sling Bridge;SLING BRIDGE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;$77,00;;$77,00;;;;;;;;;;;;;;;;;;;;;13%;;;;;;;;;36%;;;;;43%;#REF!;#REF!;#REF!;#REF!;#REF!;;40%;;;;;;40%;;;;;;46%;#REF!;#REF!;#REF!;#REF!;;15,89 _;$17,16;100%;9,53 _;$10,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CRI286;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;CRI414;3779;Spotter Arms;;;0,0559;13,00;12,00;paire;3760223790924;Spotter Arms;SPOTTER ARMS;;;;Pending;;;;;;;;CROSSFIT;Repose barre sÇcuritaire pour squats Ö accrocher sur la cage functional training.;http://www.leaderfit-equipement.com/images/eboutique/liste20140826101051.jpg;Spotter Arms ;pair;;;;Security bar for squats. To put on a functional training station.;CROSSFIT;Spotter Arms ;;;;;;;PR;;$64,10;;;;;;;;;;$30,00;;;;;46,88 _;;RISING;PR;$67,50;$81,00;13%;$77,59;71,84 _;$93,10;86,21 _;;;;;33%;$100,75;93,28 _;$120,90;111,94 _;43%;$118,42;109,65 _;$142,11;131,58 _;107,28 _;;33%;$100,75;93,28 _;$120,90;111,94 _;;33%;$305,29;282,68 _;;;;33%;$332,27;307,66 _;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CRI414;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;CRI287;3399;Supine Board;;;0,1252;17,00;15,00;;3760223793468;Supine Board;SUPINE BOARD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;$71,60;;$71,60;;;;;;;;;;;;;;;;;;;;;13%;;;;;;;;;36%;;;;;43%;#REF!;#REF!;#REF!;#REF!;#REF!;;40%;;;;;;40%;;;;;;46%;#REF!;#REF!;#REF!;#REF!;;15,89 _;$17,16;100%;9,53 _;$10,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CRI287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;CRI283;3562;Trampoline Cage;;;0,1700;24,00;22,00;;3760223790900;Trampoline Crossfit Cage;TRAMPOLINE CAGE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;$76,00;;$76,00;;;;;;;;;;;;;;;;;;;;;13%;;;;;;;;;36%;;;;;43%;#REF!;#REF!;#REF!;#REF!;#REF!;;40%;;;;;;40%;;;;;;46%;#REF!;#REF!;#REF!;#REF!;;15,89 _;$17,16;100%;9,53 _;$10,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CRI283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;CRI420;3424;Triangular Crosses 1800Mm;;;0,6105;48,00;42,00;piäce;3760223793567;Triangular Crosses 1800Mm;TRIANGULAR CROSSES 1800MM;;;;Pending;;;180cm;;;;;CROSSFIT;Utilisation pour les tractions et support de fixation pour accessoires functional training;http://www.leaderfit-equipement.com/images/eboutique/liste20140822114226.jpg;Triangular Crosses - 1800mm ;pair;;;;Used for pull ups and mounting support for functional training accessories;CROSSFIT;Triangular Crosses - 1800mm ;;;;;;;PR;;$138,50;;;;;;;;;;;;;;;;;RISING;PR;$173,00;$207,60;13%;$198,85;184,12 _;$238,62;220,95 _;;;;;33%;$258,21;239,08 _;$309,85;286,90 _;43%;$303,51;281,03 _;$364,21;337,23 _;274,94 _;;33%;$258,21;239,08 _;$309,85;286,90 _;;33%;$782,45;724,49 _;;;;33%;$851,60;788,51 _;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CRI420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;CRI480;3759;Upright Tube 2742Mm;;;0,0403;24,00;21,00;piäce;3760223790573;Upright Tube 2742Mm;UPRIGHT TUBE 2742MM;;;;Pending;;274,2cm;;;;;;CROSSFIT;Poteaux de structure;http://www.leaderfit-equipement.com/images/eboutique/liste20140822110336.jpg;Upright Tube - 2742mm;unit;;;;Upright tube for crossfit station.;CROSSFIT;Upright Tube - 2742mm;;;;;;;PC;;$60,00;;;;;;;;;;$45,00;;;;;;;RISING;PC;$75,00;$90,00;13%;$86,21;79,82 _;$103,45;95,79 _;;;;;33%;$111,94;103,65 _;$134,33;124,38 _;43%;$131,58;121,83 _;$157,89;146,20 _;119,20 _;;33%;$111,94;103,65 _;$134,33;124,38 _;;33%;$339,21;314,09 _;;;;33%;$369,19;341,84 _;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CRI480;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;CRI481;3760;Upright Tube 3685Mm;;;0,0383;31,00;29,00;piäce;3760223791358;Upright Tube 3685Mm;UPRIGHT TUBE 3685MM;;;;Pending;;368,5cm;;;;;;CROSSFIT;Poteaux de structure;http://www.leaderfit-equipement.com/images/eboutique/liste20140822110336.jpg;Upright Tube - 3685mm;unit;;;;Upright tube for crossfit station.;CROSSFIT;Upright Tube - 3685mm;;;;;;;PC;;$90,00;;;;;;;;;;;;;;;;;RISING;PC;$90,00;$108,00;13%;$103,45;95,79 _;$124,14;114,94 _;;;;;33%;$134,33;124,38 _;$161,19;149,25 _;43%;$157,89;146,20 _;$189,47;175,44 _;143,03 _;;33%;$134,33;124,38 _;$161,19;149,25 _;;33%;$407,06;376,90 _;;;;33%;$443,03;410,21 _;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CRI481;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;CRI288;3706;Ball Storage;;;0,0342;13,00;12,00;;3760223793574;Wall Ball Storage;BALL STORAGE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;$58,00;;$58,00;;;;;;;;;;;;;;;;;;;;;13%;;;;;;;;;36%;;;;;43%;#REF!;#REF!;#REF!;#REF!;#REF!;;40%;;;;;;40%;;;;;;46%;#REF!;#REF!;#REF!;#REF!;;15,89 _;$17,16;100%;9,53 _;$10,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CRI288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;173;;;;;;;;;112;128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
