Ref HLDP;Ref LF;Produits
STW626;2068;Halteres Caoutchouc Hexagonales 40Kg 
STW627;2485;Halteres Caoutchouc Hexagonales 42,5Kg 
STW628;2071;Halteres Caoutchouc Hexagonales 45Kg 
STW629;2486;Halteres Caoutchouc Hexagonales 47,5Kg 
STW630;2074;Halteres Caoutchouc Hexagonales 50Kg 
RFW428;2993;Halteres Vinyles Hexa 0,5Kg
RFW429;1616;Halteres Vinyles Hexa 1Kg
RFW430;2994;Halteres Vinyles Hexa 2Kg
RFW431;2995;Halteres Vinyles Hexa 3Kg
RFW432;2996;Halteres Vinyles Hexa 4Kg
RFW433;2997;Halteres Vinyles Hexa 5Kg
RFA579;1625;Home Trainer
STW634;2362;Hex Bar
CRW152;2969;Kettlebell 4Kg
CRW153;2970;Kettlebell 6Kg
CRW154;2971;Kettlebell 8Kg
CRW155;2972;Kettlebell 10Kg
CRW156;2973;Kettlebell 12Kg
CRW157;2974;Kettlebell 16Kg
CRW158;2975;Kettlebell 20Kg
CRW159;2976;Kettlebell 24Kg
CRW160;3529;Kettlebell 28Kg
CRW161;3530;Kettlebell 32Kg
CRW162;3531;Kettlebell 36Kg
CRW163;3532;Kettlebell 40Kg
CRW164;3533;Kettlebell 44Kg
CRW165;3534;Kettlebell 48Kg
CRI169;3393;Kettlebell Couleur 8Kg
CRI170;3394;Kettlebell Couleur 10Kg
CRI171;3395;Kettlebell Couleur 12Kg
CRI172;3648;Kettlebell Couleur 14Kg
CRI173;3649;Kettlebell Couleur 16Kg
CRI174;3650;Kettlebell Couleur 18Kg
CRI175;3651;Kettlebell Couleur 20Kg
CRI176;3652;Kettlebell Couleur 22Kg
CRI177;3653;Kettlebell Couleur 24Kg
CRI178;3654;Kettlebell Couleur 26Kg
CRI179;3655;Kettlebell Couleur 28Kg
CRI180;3656;Kettlebell Couleur 32Kg
CRI181;3657;Kettlebell Couleur 36Kg
CRI182;3658;Kettlebell Couleur 40Kg
CRI183;3659;Kettlebell Couleur 44Kg
CRI184;3660;Kettlebell Couleur 48Kg
PTA689;2322;Kit De Parcours
RFW436;2312;Kit Pump Couleur 20Kg
RFW438;2903;Kit Pump Couleur 8,5Kg
RFW437;3537;Kit Pump Noir 20Kg
RFA881;2358;Manchon Mousse
CRI192;1639;Medecine Ball 1Kg
CRI193;1640;Medecine Ball 2Kg
CRI194;1641;Medecine Ball 3Kg
CRI195;1642;Medecine Ball 4Kg
CRI196;1643;Medecine Ball 5Kg
CRI200;3421;Multi-Grip Chin-Up
PTA693;1677;Parachute De Resistance 140Cm
RFA460;1682;Pilates Ring
STW638;1684;Pinces Metal Stop Disque 
CRI290;3966;Plateau d'haltÇrophilie
RFW464;1436;Plateau De Freeman
PTA698;1685;Plots De Vitesse
CRW204;3554;Plyobox Set
CRI208;3691;Power Bag 5Kg
CRI209;3692;Power Bag 10Kg
CRI210;3693;Power Bag 15Kg
CRI211;3694;Power Bag 20Kg
CRI212;3695;Power Bag 25Kg
CRI217;3697;Power Band Extra Light
CRI216;3696;Power Band Light
CRI218;3699;Power Band Medium
CRI219;3700;Power Band Strong
CRI220;3698;Power Band Extra Strong
RFA483;1696;Press Ball
RFA487;2364;Pull Boy
RFW495;1697;Rack 10 Kits Pump
RFW496;1699;Rack 20 Kits Pump A (gris)
RFW497;2904;Rack 20 Kits Pump B (noir)
RFW509;1704;Rack 9 Gymball
STW642;1718;Rack Accessoires
STT646;3555;Rack Barres Mural
STW650;3398;Rack Barres Vertical
STT654;1705;Rack Disques 
STW658;1717;Rack Disques & Barres
RFW501;1709;Rack Domes Trainer
RFW505;1710;Rack Foam Roller
RFW513;2239;Rack Halteres Fitness Roulant
STW662;3777;Rack Haltäres Hexagonaux
RFA602;1713;Rack Kettlebell
CRW228;2345;Rack 5 Medecine Ball
RFW517;1716;Rack Mural Ajustable Tapis
CRW232;2347;Rack Power Bag
RFW521;1719;Rack Tapis Roulant
RFW529;1726;Rouleau Bande Latex Light
RFW530;1727;Rouleau Bande Latex Medium
RFW531;3491;Rouleau Bande Latex Strong
CRW236;3712;Rumble Roller
RFA819;$1ˇ945,00;Sac De Frappe
RFA601;1767;Set de Massage
CRI241;3738;Slamball 4Kg
CRI242;3739;Slamball 6Kg
CRI243;3740;Slamball 8Kg
CRI244;3741;Slamball 10Kg
CRI245;3742;Slamball 15Kg
CRW249;3729;Soft Plyobox Set
STC666;3630;Sol En Rouleau
RFW557;1738;Step Aerobic
RFW558;2310;Step Aerobic Avec Plots
RFW559;2687;Step Aerobic Sans Plots
RFW558;2310;Step Club 
CRI188;3559;Suspension Trainer
RFA565;1744;Tapis D'Exercice TPE 140Cm, 15Mm
RFA566;1745;Tapis D'Exercice TPE 180Cm, 15Mm
RFA564;3560;Tapis D'Exercice 1M Gris/Noir
RFA568;1749;Tapis Nbr, 180Cm, 15Mm, noir
RFA603;1748;Tapis Nbr, 180Cm, 15Mm, beu
CRI253;3563;Timer
CRI257;2327;Traineau ∑ LestÇes
RFA815;2342;Wall Ball 3Kgs
RFA816;2343;Wall Ball 6Kgs
RFA817;2344;Wall Ball 9Kgs
CRI410;3397;Ab Slings
CRI284;2230;Banc commercial
CRI450;3458;Cage Crossfit Power
CRI280;3415;Chin-up Bar 1172mm
CRI281;3416;Chin-up Bar 1200mm
CRI282;3417;Chin-up Bar 1250mm
CRI460;3478;Cible Wall Ball
CRI421;3410;Cross Bar   - 1080Mm
CRI422;3411;Cross Bar - 1800Mm 
CRI425;3820;Cross Bar Length: 2815Mm
CRI463;3484;Dip Bars
CRI462;3483;Dip Horn
CRI416;3419;Double Chin-Up Bar  - 1080Mm
CRI417;3420;Double Chin-Up Bar - 1800Mm
CRI423;3412;Elevation Cross Bar - 1552Mm 
CRI424;3413;Elevation Cross Bar - 2119Mm 
CRI412;3813;Elevation Cross Bar Length: 1215Mm
CRI464;3525;Ghd
CRI466;3641;Grip Ball
CRI490;2884;J-Hooks
CRW224;3705;Kettlebell Storage
CRI470;3547;Monkey Bar - 1080Mm
CRI471;3548;Monkey Bar - 1800Mm
CRI472;3549;Monkey Rack - 1080Mm
CRI473;3550;Monkey Rack - 1800Mm
CRI419;3423;Overpass - 1800Mm 
CRI418;3422;Overpass- 1080Mm 
CRI475;3552;Pegs Pour Power Band
CRI476;3690;Plyometric Box Board
CRI477;3689;Plate Forme PliomÇtrique
CRI413;3704;Plate Storage Sleeve
CRI478;3735;Shap Handle
CRI482;3480;Rotational Core
CRI415;3418;Sliding Pull Up System
CRI286;3743;Sling Bridge
CRI414;3779;Spotter Arms 
CRI287;3399;Supine Board
CRI283;3562;Trampoline cage
CRI420;3424;Triangular Crosses - 1800Mm 
CRI480;3759;Trampoline cage
CRI288;3706;Wall Board Storage
CRI481;3760;Upright Tube - 3685Mm
RFW617;1931;SR - RANGEMENT ACCESSOIRES
RFW618;1932;SR - RANGEMENT DISQUE BUMPER
RFW619;1933;SR - RANGEMENT HALT‘RE
RFW620;1934;SR - RANGEMENT KETTLEBELL
RFW621;1935;SR - RANGEMENT MEDECINE BALL
RFW622;1936;SR - RANGEMENT BARRE OLYMPIQUE
RFW623;1937;SR - RANGEMENT DISQUE
RFW625;1938;SR - POTEAU RACK CROSS TRAINING 1,5M
RFW624;1939;SR - POTEAU RACK CROSS TRAINING 1M
RFW626;1940;SR - RANGEMENT WALL BALL
CRI292;3703;Punching bag rack
RFW498;1992;RACK 20 KITS PUMP ROULANT
RFW638;1989;Balance Cushion
STW674;3584;Kettlebell Cast Iron 4kg
STW675;3585;Kettlebell Cast Iron 8kg
STW677;3587;Kettlebell Cast Iron 12kg
STW678;3588;Kettlebell Cast Iron 16kg
